m,n,l,u,hr,sumh,y1,y2,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15
56,53,30.01666203960727,27.29468812791236,17,71,16,75,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2.25,3.25,4.5,5.5,6.75,7.75,9,10.25,11.25,12.5,13.5,14.75,15,15
55,54,29.01723625709382,28.2842712474619,17,71,16,75,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4.25,5.25,6.25,7.25,8.5,9.5,10.5,11.5,12.75,13.75,14.75,15
57,51,32.01562118716424,26.30589287593181,17,69,16,73,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1.25,2.5,3.75,5,6.25,7.5,8.75,10,11.25,12.5,13.75,15,15,15,15
56,52,31.01612483854164,27.29468812791236,17,69,16,73,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1.25,2.25,3.5,4.5,5.75,7,8.25,9.25,10.5,11.75,13,14,15,15,15
55,53,30.01666203960727,28.2842712474619,17,69,16,73,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2.25,3.25,4.25,5.5,6.5,7.5,8.75,9.75,11,12,13,14.25,15,15
53,54,29.01723625709382,30.26549190084311,17,69,16,73,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,4.75,5.75,6.75,7.75,8.75,9.75,10.75,11.75,12.75,13.75,14.75
54,54,29.01723625709382,29.27456233660889,17,69,16,73,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,6,7,8,9,10.25,11.25,12.25,13.25,14.25,15
56,50,33.01514803843835,27.29468812791236,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1.25,2.5,3.75,5,6.25,7.5,8.75,10,11.25,12.5,13.75,15,15,15,15
57,50,33.01514803843835,26.30589287593181,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1.25,2.5,3.75,5,6.5,7.75,9,10.25,11.75,13,14.25,15,15,15,15
56,51,32.01562118716424,27.29468812791236,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1.25,2.5,3.5,4.75,6,7.25,8.5,9.5,10.75,12,13.25,14.5,15,15,15
54,52,31.01612483854164,29.27456233660889,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2.25,3.25,4.25,5.5,6.5,7.5,8.75,9.75,10.75,12,13,14.25,15,15
55,52,31.01612483854164,28.2842712474619,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2.25,3.25,4.5,5.5,6.75,7.75,9,10,11.25,12.5,13.5,14.75,15,15
53,53,30.01666203960727,30.26549190084311,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,6,7,8,9,10.25,11.25,12.25,13.25,14.25,15
54,53,30.01666203960727,29.27456233660889,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4.25,5.25,6.25,7.25,8.25,9.5,10.5,11.5,12.75,13.75,14.75,15
52,54,29.01723625709382,31.25699921617556,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,2.75,3.75,4.75,5.75,6.5,7.5,8.5,9.5,10.5,11.5,12.25,13.25,14.25
53,54,29.01723625709382,30.26549190084311,17,67,16,71,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,4.75,5.75,6.75,7.75,8.75,9.75,10.75,11.75,12.75,13.75,14.75
